id,book_number,book_title,published_date,author_id
,B004JF4JGI,JESUS THE CHRIST A Study of the Messiah and His Mission According to Holy Scriptures Both Ancient and Modern (Premium Kindle Edition): FULLY ANNOTATED ... (Annotated Edition) (Latter Day Saints LDS),,
,B004JHYK7Y,Green for Life: The Updated Classic on Green Smoothie Nutrition,,
,B004JN04AU,Gingerbread Houses,,
,B004JN04VE,Easy Vegetarian Recipes,,
,B004JN054A,Stuff on a Stick,,
,B004JN05BS,Manly Crafts,,
,B004JN05CW,Easy Appetizer Recipes,,
,B004JN1D50,"Guy Fieri Food: Cookin' It, Livin' It, Lovin' It",,
,B004JN1D5U,Salad as a Meal: Healthy Main-Dish Salads for Every Season,,
,B004JU0I3Q,Duct Tape Bags,,
,B004JU0J4E,Incredible Cardboard!,,
,B004JU1ZH4,Practical Duct Tape Projects,,
,B004KAB9GU,Footsteps in Time (The After Cilmeri Series Book 2),,
,B004KABDNY,Power Foods: 150 Delicious Recipes with the 38 Healthiest Ingredients,,
,B004KKZ3GC,A Walk in the Snark,,
,B004KPLRJO,Power Up Your Brain,,
,B004KPM22U,"Mexican Made Easy: Everyday Ingredients, Extraordinary Flavor",,
,B004KZP1WS,Castle Cay (Julie O'Hara Mystery Series Book 1),,
,B004L624SU,Kindle Mobile Friendly Websites,,
,B004L62CEQ,Introduction to Biological Aging Theory,,
,B004LKS68S,"German Verb Drills, Fourth Edition (Drills Series)",,
,B004LLIPW4,After the Leaves Fall,,
,B004M18ME4,Living Rich by Spending Smart: How to Get More of What You Really Want,,
,B004MDLXC0,If You Have A Hat: A Silly Rhyming Picture Book for Kids,,
,B004MME5IK,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,,
,B004MME6MK,Smokin' with Myron Mixon: Backyard 'Cue Made Simple from the Winningest Man in Barbecue,,
,B004MME6NO,"Asian Dumplings: Mastering Gyoza, Spring Rolls, Samosas, and More",,
,B004MME6UC,Chez Panisse Menu Cookbook,,
,B004MPRWBE,A Year In A Bottle: Preserving and Conserving Fruit and Vegetables Throughout the Year,,
,B004N62122,"Canning for a New Generation: Updated and Expanded Edition: Bold, Fresh Flavors for the Modern Pantry",,
,B004N636G2,The Meatball Shop Cookbook,,
,B004NSVH7A,Let's Go Europe 2011: The Student Travel Guide,,
,B004OA64KM,"1,001 Best Hot and Spicy Recipes",,
,B004OA64RU,The Guilt Free 3: Three Dishes Under 300 Calories,,
,B004OVESYU,Ultimate Camp Cooking,,
,B004P1IXZE,Hydrofracked? One Man's Mystery Leads to a Backlash Against Natural Gas Drilling (Kindle Single),,
,B004P1J24U,"Gwynne, Fair & Shining (Gold Ink Award Winner)",,
,B004PLMAQM,Back to the Black: How to become debt-free and stay that way (Telling Experience Book 1),,
,B004PLMIUK,"A Heart Divided, A Novel (Heart of the Rockies Book 1)",,
,B004PVSNWC,How to Study with Mind Maps: The Concise Learning Method for Students and Lifelong Learners (Expanded Edition),,
,B004PYDI88,Princess Callie and the Totally Amazing Talking Tiara (The Callie Chronicles Book 1),,
,B004Q7CIDU,Nora Roberts's Bride Quartet,,
,B004QGY63G,"The Velocity Manifesto: Harnessing Technology, Vision, and Culture to Future-Proof your Organization",,
,B004QO9VVA,Quiet Reflections of Peace: 120 Devotions to End Your Day,,
,B004R1Q6II,A Journey into the Interior of the Earth,,
,B004R9P9RO,Boost your memory (52 Brilliant Ideas),,
,B004R9P9SI,Helpful herbs for health and beauty (52 Brilliant Ideas),,
,B004RIWCAM,Don't Make Me Come Up There!: Quiet Moments for Busy Moms,,
,B004ROH3RS,Blackbird Bakery Gluten-Free,,
,B004ROT3L2,"The Indian Slow Cooker: 50 Healthy, Easy, Authentic Recipes",,
,B004RR1CEA,101 of the Best Free Websites for Climbing Your Family Tree (Genealogy),,
,B004RVBIZY,Miami Spice: The New Florida Cuisine,,
,B004S1VA1U,The Thirteenth Gift,,
,B004SBO41S,"He Loves Me Not (Lily's Story, Book 1)",,
,B004SCSPIA,Marked (Soul Guardians Book 1),,
,B004SH6XPM,"Genes, Chromosomes, and Disease: From Simple Traits, to Complex Traits, to Personalized Medicine (FT Press Science)",,
,B004SHO55M,"The Quarter-Acre Farm: How I Kept the Patio, Lost the Lawn, and Fed My Family for a Year",,
,B004SNPSWU,"Moon Zion and Bryce: Including Arches, Canyonlands, Capitol Reef, Grand Staircase-Escalante and Moab (Moon Handbooks)",,
,B004SOIMOK,Live Organic (52 Brilliant Ideas),,
,B004SQ4LCU,The All-American Cowboy Cookbook: Over 300 Recipes From the World's Greatest Cowboys,,
,B004SQSMV6,Daughter of Time (The After Cilmeri Series Book 1),,
,B004SQX4G4,Pennsylvania Dutch Cooking,,
,B004SUO5IG,How Can I Talk If My Lips Don't Move?,,
,B004SUP1XO,The Ugly Duckling (Illustrated),,
,B004SY9KYG,Almost Perfect (Perfect Trilogy Book 1),,
,B004T2LKOA,Breakfast at Sally's: One Homeless Man's Inspirational Journey,,
,B004T3FYDM,One True Love,,
,B004T4KRJM,"The Journal of Best Practices: A Memoir of Marriage, Asperger Syndrome, and One Man's Quest to Be a Better Husband",,
